رمز المادة,اسم المادة,اسم المستودع,المجموعة,الواحدة 1,الواحدة 2,الر مز الوارد,الإسم الوارد,سعر الشراء
SPER000194,كمامة ورق,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,OT100-MPRK,,5
RAWM000049,اساس فرن رمادي,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,IL200-P334,,150
RAWM000050,FIDEA HARDENER FAST 9052,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,FD200-9052,,45
RAWM000051,SOLVEX CRYL THINNER DRUM 17 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,برميل,,OT100-SLVEX,,64.52
SPER000195,برغي الين  20×8 اسود,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000104,,0.7
SPER000196,هراب ماسورة 1.25 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICH000216,,8
SPER000197,رأس هراب بلاستيك 1.25 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICP000379,,5
SPER000198,قاعدة تلميع,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,45
SPER000199,خرطوم ضغط غالي أزرق 10 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,متر,,ICH000250,AIR HOSE BLUE 10 MM,6
SPER000200,مساحة بلاط 70 سم ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICW000142,WIPER 70 CM,30
SPER000201,مساحة بلاط وسط 44/45 ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICW000031,WIPER 45/55 CM,20
SPER000202,مفتاح براغي ألماني 13,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICP000134,PANERS GERMANY 13,15
SPER000203,ورق سنفرة دائري 4.5 بوصة تركي مقاس 50,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICS000130,SAND PAPER ROUND 4.5 INCH 50 TURKISH ,2.2
SPER000204,مسمار ميزانية مقاس 8 مل قاعدة بلاستيك أسود,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,1
SPER000205,فلتر فرن علوي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,لفة,,EQ102-CFLR,,"1,350.000"
SPER000206,فلتر جانبي أزرق وابيض,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,لفة,,EQ102-SP30,,450
